,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,NPOPCHG_2010,BIRTHS2010,DEATHS2010,NATURALINC2010,INTERNATIONALMIG2010,DOMESTICMIG2010,NETMIG2010,RESIDUAL2010,GQESTIMATESBASE2010
116,50,3,7,5,1,Arkansas,Arkansas County,19019,19007,19009,2,70,33,37,5,-39,-34,-1,247
117,50,3,7,5,3,Arkansas,Ashley County,21853,21845,21829,-16,58,48,10,1,-26,-25,-1,191
118,50,3,7,5,5,Arkansas,Baxter County,41513,41511,41510,-1,83,135,-52,-2,56,54,-3,595
119,50,3,7,5,7,Arkansas,Benton County,221339,221348,222593,1245,834,295,539,145,529,674,32,2061
120,50,3,7,5,9,Arkansas,Boone County,36903,36920,36893,-27,91,127,-36,-2,16,14,-5,465
121,50,3,7,5,11,Arkansas,Bradley County,11508,11505,11470,-35,33,60,-27,8,-15,-7,-1,220
122,50,3,7,5,13,Arkansas,Calhoun County,5368,5368,5362,-6,15,4,11,0,-16,-16,-1,175
123,50,3,7,5,15,Arkansas,Carroll County,27446,27449,27553,104,74,38,36,6,60,66,2,230
124,50,3,7,5,17,Arkansas,Chicot County,11800,11800,11799,-1,34,20,14,2,-17,-15,0,722
125,50,3,7,5,19,Arkansas,Clark County,22995,22991,22925,-66,67,96,-29,7,-46,-39,2,2612
126,50,3,7,5,21,Arkansas,Clay County,16083,16083,16050,-33,37,84,-47,0,16,16,-2,125
127,50,3,7,5,23,Arkansas,Cleburne County,25970,25964,25986,22,71,104,-33,-1,55,54,1,339
128,50,3,7,5,25,Arkansas,Cleveland County,8689,8692,8677,-15,21,42,-21,0,7,7,-1,52
129,50,3,7,5,27,Arkansas,Columbia County,24552,24552,24723,171,72,117,-45,11,180,191,25,1315
130,50,3,7,5,29,Arkansas,Conway County,21273,21267,21219,-48,57,76,-19,1,-28,-27,-2,286
131,50,3,7,5,31,Arkansas,Craighead County,96443,96443,96748,305,338,173,165,23,117,140,0,3579
132,50,3,7,5,33,Arkansas,Crawford County,61948,61935,61956,21,184,164,20,-1,6,5,-4,540
133,50,3,7,5,35,Arkansas,Crittenden County,50902,50907,50958,51,198,80,118,0,-66,-66,-1,701
134,50,3,7,5,37,Arkansas,Cross County,17870,17878,17862,-16,49,23,26,0,-44,-44,2,225
135,50,3,7,5,39,Arkansas,Dallas County,8116,8124,8066,-58,26,50,-24,-1,-34,-35,1,405
136,50,3,7,5,41,Arkansas,Desha County,13008,13002,12954,-48,42,51,-9,1,-41,-40,1,56
137,50,3,7,5,43,Arkansas,Drew County,18509,18517,18666,149,45,65,-20,3,146,149,20,785
138,50,3,7,5,45,Arkansas,Faulkner County,113237,113238,114026,788,388,239,149,22,570,592,47,4055
139,50,3,7,5,47,Arkansas,Franklin County,18125,18137,18142,5,44,35,9,1,-3,-2,-2,447
140,50,3,7,5,49,Arkansas,Fulton County,12245,12236,12215,-21,31,70,-39,1,17,18,0,165
141,50,3,7,5,51,Arkansas,Garland County,96024,95999,96067,68,292,367,-75,5,137,142,1,2166
142,50,3,7,5,53,Arkansas,Grant County,17853,17842,17886,44,46,31,15,1,29,30,-1,143
143,50,3,7,5,55,Arkansas,Greene County,42090,42090,42201,111,128,91,37,-1,74,73,1,602
144,50,3,7,5,57,Arkansas,Hempstead County,22609,22587,22596,9,104,51,53,1,-46,-45,1,301
145,50,3,7,5,59,Arkansas,Hot Spring County,32923,33011,33231,220,75,56,19,2,178,180,21,1571
146,50,3,7,5,61,Arkansas,Howard County,13789,13781,13796,15,48,37,11,3,1,4,0,181
147,50,3,7,5,63,Arkansas,Independence County,36647,36641,36809,168,120,101,19,6,132,138,11,900
148,50,3,7,5,65,Arkansas,Izard County,13696,13703,13726,23,35,21,14,1,10,11,-2,769
149,50,3,7,5,67,Arkansas,Jackson County,17997,17998,18057,59,44,36,8,0,44,44,7,2000
150,50,3,7,5,69,Arkansas,Jefferson County,77435,77456,77341,-115,250,202,48,1,-169,-168,5,5530
151,50,3,7,5,71,Arkansas,Johnson County,25540,25545,25556,11,94,85,9,6,0,6,-4,558
152,50,3,7,5,73,Arkansas,Lafayette County,7645,7643,7647,4,20,10,10,0,-6,-6,0,111
153,50,3,7,5,75,Arkansas,Lawrence County,17415,17410,17518,108,50,37,13,1,85,86,9,595
154,50,3,7,5,77,Arkansas,Lee County,10424,10428,10395,-33,20,11,9,3,-48,-45,3,1756
155,50,3,7,5,79,Arkansas,Lincoln County,14134,14141,14089,-52,33,19,14,1,-72,-71,5,3445
156,50,3,7,5,81,Arkansas,Little River County,13171,13168,13132,-36,44,57,-13,0,-25,-25,2,123
157,50,3,7,5,83,Arkansas,Logan County,22353,22361,22308,-53,54,96,-42,3,-12,-9,-2,580
158,50,3,7,5,85,Arkansas,Lonoke County,68356,68382,68744,362,228,103,125,43,187,230,7,572
159,50,3,7,5,87,Arkansas,Madison County,15717,15723,15684,-39,47,64,-17,2,-25,-23,1,79
160,50,3,7,5,89,Arkansas,Marion County,16653,16644,16665,21,40,35,5,2,14,16,0,141
161,50,3,7,5,91,Arkansas,Miller County,43462,43462,43562,100,162,75,87,1,16,17,-4,1480
162,50,3,7,5,93,Arkansas,Mississippi County,46480,46481,46399,-82,177,118,59,6,-151,-145,4,767
163,50,3,7,5,95,Arkansas,Monroe County,8149,8155,8138,-17,30,9,21,0,-39,-39,1,84
164,50,3,7,5,97,Arkansas,Montgomery County,9487,9497,9510,13,25,8,17,0,-2,-2,-2,121
165,50,3,7,5,99,Arkansas,Nevada County,8997,9020,8997,-23,32,33,-1,0,-23,-23,1,157
166,50,3,7,5,101,Arkansas,Newton County,8330,8315,8304,-11,15,36,-21,0,10,10,0,51
167,50,3,7,5,103,Arkansas,Ouachita County,26120,26128,26046,-82,53,131,-78,0,-2,-2,-2,352
168,50,3,7,5,105,Arkansas,Perry County,10445,10444,10444,0,31,48,-17,0,18,18,-1,152
169,50,3,7,5,107,Arkansas,Phillips County,21757,21755,21676,-79,67,38,29,1,-115,-114,6,246
170,50,3,7,5,109,Arkansas,Pike County,11291,11287,11264,-23,25,49,-24,2,0,2,-1,196
171,50,3,7,5,111,Arkansas,Poinsett County,24583,24576,24515,-61,58,100,-42,4,-21,-17,-2,341
172,50,3,7,5,113,Arkansas,Polk County,20662,20654,20667,13,52,44,8,1,6,7,-2,155
173,50,3,7,5,115,Arkansas,Pope County,61754,61753,62109,356,201,112,89,16,228,244,23,3330
174,50,3,7,5,117,Arkansas,Prairie County,8715,8716,8722,6,32,14,18,0,-13,-13,1,131
175,50,3,7,5,119,Arkansas,Pulaski County,382748,382749,383538,789,1415,850,565,186,61,247,-23,7980
176,50,3,7,5,121,Arkansas,Randolph County,17969,17969,17955,-14,55,77,-22,3,5,8,0,349
177,50,3,7,5,123,Arkansas,St. Francis County,28258,28253,28194,-59,93,36,57,3,-124,-121,5,4085
178,50,3,7,5,125,Arkansas,Saline County,107118,107135,107656,521,288,254,34,15,444,459,28,1425
179,50,3,7,5,127,Arkansas,Scott County,11233,11241,11275,34,35,42,-7,3,35,38,3,79
180,50,3,7,5,129,Arkansas,Searcy County,8195,8195,8182,-13,14,32,-18,0,6,6,-1,71
181,50,3,7,5,131,Arkansas,Sebastian County,125744,125740,125737,-3,414,311,103,35,-133,-98,-8,2235
182,50,3,7,5,133,Arkansas,Sevier County,17058,17059,17151,92,73,21,52,13,28,41,-1,173
183,50,3,7,5,135,Arkansas,Sharp County,17264,17263,17250,-13,40,44,-4,0,-8,-8,-1,189
184,50,3,7,5,137,Arkansas,Stone County,12394,12394,12389,-5,21,50,-29,0,25,25,-1,151
185,50,3,7,5,139,Arkansas,Union County,41639,41639,41573,-66,111,81,30,5,-103,-98,2,524
186,50,3,7,5,141,Arkansas,Van Buren County,17295,17296,17310,14,41,39,2,0,13,13,-1,189
187,50,3,7,5,143,Arkansas,Washington County,203065,203050,204024,974,806,329,477,174,321,495,2,7563
188,50,3,7,5,145,Arkansas,White County,77076,77086,77356,270,244,136,108,10,149,159,3,3252
189,50,3,7,5,147,Arkansas,Woodruff County,7260,7264,7236,-28,16,37,-21,0,-7,-7,0,106
190,50,3,7,5,149,Arkansas,Yell County,22185,22183,22146,-37,78,86,-8,13,-43,-30,1,323
191,40,4,9,6,0,California,California,37253956,37254519,37319502,64983,123327,57319,66008,19635,-20356,-721,-304,820359
192,50,4,9,6,1,California,Alameda County,1510271,1510258,1512986,2728,4879,2153,2726,1687,-1592,95,-93,37442
193,50,4,9,6,3,California,Alpine County,1175,1175,1161,-14,2,4,-2,0,-13,-13,1,24
194,50,4,9,6,5,California,Amador County,38091,38091,37886,-205,79,84,-5,1,-217,-216,16,4551
195,50,4,9,6,7,California,Butte County,220000,220005,219949,-56,622,516,106,39,-181,-142,-20,4942
196,50,4,9,6,9,California,Calaveras County,45578,45578,45468,-110,74,141,-67,3,-39,-36,-7,493
197,50,4,9,6,11,California,Colusa County,21419,21407,21437,30,70,13,57,2,-30,-28,1,225
198,50,4,9,6,13,California,Contra Costa County,1049025,1049204,1052540,3336,3015,1739,1276,489,1570,2059,1,10486
199,50,4,9,6,15,California,Del Norte County,28610,28610,28566,-44,89,93,-4,1,-44,-43,3,3818
200,50,4,9,6,17,California,El Dorado County,181058,181058,181136,78,382,296,86,22,-12,10,-18,1643
201,50,4,9,6,19,California,Fresno County,930450,930507,932039,1532,3898,1591,2307,96,-862,-766,-9,17523
202,50,4,9,6,21,California,Glenn County,28122,28122,28127,5,107,29,78,-3,-72,-75,2,316
203,50,4,9,6,23,California,Humboldt County,134623,134611,135009,398,384,287,97,19,256,275,26,5014
204,50,4,9,6,25,California,Imperial County,174528,174524,174716,192,688,181,507,-64,-266,-330,15,10684
205,50,4,9,6,27,California,Inyo County,18546,18542,18511,-31,39,35,4,-2,-33,-35,0,433
206,50,4,9,6,29,California,Kern County,839631,839621,840996,1375,3486,1368,2118,143,-909,-766,23,36757
207,50,4,9,6,31,California,Kings County,152982,152974,152370,-604,570,215,355,55,-1108,-1053,94,21580
208,50,4,9,6,33,California,Lake County,64665,64662,64735,73,162,167,-5,-3,80,77,1,1085
209,50,4,9,6,35,California,Lassen County,34895,34895,34831,-64,84,92,-8,2,-56,-54,-2,9779
210,50,4,9,6,37,California,Los Angeles County,9818605,9819968,9823246,3278,31738,13803,17935,6603,-21753,-15150,493,171735
211,50,4,9,6,39,California,Madera County,150865,150834,150986,152,574,325,249,-35,-57,-92,-5,8624
212,50,4,9,6,41,California,Marin County,252409,252430,252904,474,589,475,114,159,225,384,-24,9044
213,50,4,9,6,43,California,Mariposa County,18251,18247,18277,30,31,22,9,1,20,21,0,725
214,50,4,9,6,45,California,Mendocino County,87841,87850,87799,-51,305,178,127,12,-193,-181,3,2044
215,50,4,9,6,47,California,Merced County,255793,255796,256721,925,1066,432,634,21,269,290,1,4896
216,50,4,9,6,49,California,Modoc County,9686,9682,9694,12,27,17,10,0,3,3,-1,357
217,50,4,9,6,51,California,Mono County,14202,14206,14257,51,31,20,11,3,30,33,7,222
218,50,4,9,6,53,California,Monterey County,415057,415059,416373,1314,1675,517,1158,79,96,175,-19,18702
219,50,4,9,6,55,California,Napa County,136484,136535,136759,224,389,320,69,41,128,169,-14,4966
220,50,4,9,6,57,California,Nevada County,98764,98747,98790,43,217,190,27,7,25,32,-16,1175
221,50,4,9,6,59,California,Orange County,3010232,3008989,3015171,6182,9302,4310,4992,1378,152,1530,-340,39273
222,50,4,9,6,61,California,Placer County,348432,348502,350021,1519,951,711,240,127,1109,1236,43,3807
223,50,4,9,6,63,California,Plumas County,20007,20007,19914,-93,41,87,-46,2,-49,-47,0,277
224,50,4,9,6,65,California,Riverside County,2189641,2189765,2201576,11811,7215,3374,3841,6,7502,7508,462,35945
225,50,4,9,6,67,California,Sacramento County,1418788,1418735,1421383,2648,5027,2491,2536,653,-408,245,-133,23787
226,50,4,9,6,69,California,San Benito County,55269,55265,55516,251,190,34,156,-5,97,92,3,289
227,50,4,9,6,71,California,San Bernardino County,2035210,2035183,2040848,5665,7465,3058,4407,200,1174,1374,-116,40059
228,50,4,9,6,73,California,San Diego County,3095313,3095349,3103212,7863,10719,4681,6038,2382,-253,2129,-304,101966
229,50,4,9,6,75,California,San Francisco County,805235,805184,805505,321,2118,1277,841,1163,-1651,-488,-32,24270
230,50,4,9,6,77,California,San Joaquin County,685306,685306,687127,1821,2548,1099,1449,107,328,435,-63,14354
231,50,4,9,6,79,California,San Luis Obispo County,269637,269597,269802,205,704,519,185,-11,63,52,-32,17006
232,50,4,9,6,81,California,San Mateo County,718451,718517,719699,1182,2289,1116,1173,663,-594,69,-60,8853
233,50,4,9,6,83,California,Santa Barbara County,423895,423947,424231,284,1510,760,750,159,-634,-475,9,17782
234,50,4,9,6,85,California,Santa Clara County,1781642,1781686,1786040,4354,5868,2168,3700,2690,-2007,683,-29,30350
235,50,4,9,6,87,California,Santa Cruz County,262382,262350,263147,797,812,442,370,-2,404,402,25,10969
236,50,4,9,6,89,California,Shasta County,177223,177221,177274,53,533,466,67,33,-22,11,-25,2654
237,50,4,9,6,91,California,Sierra County,3240,3239,3220,-19,7,20,-13,0,-5,-5,-1,33
238,50,4,9,6,93,California,Siskiyou County,44900,44900,44938,38,90,108,-18,6,50,56,0,474
239,50,4,9,6,95,California,Solano County,413344,413343,413967,624,1188,643,545,209,-83,126,-47,12452
240,50,4,9,6,97,California,Sonoma County,483878,483861,484755,894,1420,954,466,56,393,449,-21,10043
241,50,4,9,6,99,California,Stanislaus County,514453,514450,515145,695,1920,909,1011,119,-416,-297,-19,6305
242,50,4,9,6,101,California,Sutter County,94737,94756,94751,-5,324,220,104,81,-199,-118,9,1060
243,50,4,9,6,103,California,Tehama County,63463,63440,63559,119,179,165,14,14,94,108,-3,842
244,50,4,9,6,105,California,Trinity County,13786,13784,13755,-29,33,53,-20,0,-7,-7,-2,385
245,50,4,9,6,107,California,Tulare County,442179,442182,442969,787,1856,648,1208,-114,-301,-415,-6,4775
246,50,4,9,6,109,California,Tuolumne County,55365,55368,55190,-178,130,119,11,8,-206,-198,9,4482
